Chrom	Start	End	Ref	Tgt	Src	N(Variants)	Q95(w<0.01,y=(=1.0,=1.0))	Candidate
9	16400001	16440000	AFR+EAS	EUR	NEA,DEN	1082	nan	NA
9	16440001	16480000	AFR+EAS	EUR	NEA,DEN	983	nan	NA
9	16480001	16520000	AFR+EAS	EUR	NEA,DEN	985	nan	NA
9	16520001	16560000	AFR+EAS	EUR	NEA,DEN	966	nan	NA
9	16560001	16600000	AFR+EAS	EUR	NEA,DEN	1029	0.0008946322067594431	9:16599339
9	16600001	16640000	AFR+EAS	EUR	NEA,DEN	1063	0.0	9:16628794,9:16630007
9	16640001	16680000	AFR+EAS	EUR	NEA,DEN	1153	nan	NA
9	16680001	16720000	AFR+EAS	EUR	NEA,DEN	999	0.6282306163021869	9:16715657
9	16720001	16760000	AFR+EAS	EUR	NEA,DEN	1007	0.6828528827037773	9:16759357
9	16760001	16800000	AFR+EAS	EUR	NEA,DEN	1060	0.6988071570576541	9:16770229
9	16800001	16840000	AFR+EAS	EUR	NEA,DEN	960	0.7176938369781312	9:16800789
9	16840001	16880000	AFR+EAS	EUR	NEA,DEN	923	0.15382703777335985	9:16854367
9	16880001	16920000	AFR+EAS	EUR	NEA,DEN	512	nan	NA
